O arquivo de saída com os padrões estão:
(tamanho do padrão) ; (suporte) ; (padrão)
68;2;515 2518 2912 3401 5325 6596 7967 9733 10359 13382 15019 15458 18378 19992 22010 22459 24527 25508 26649 27392 30362 34585 36776 37062 37695 37899 40074 40321 41517 43323 46266 47281 47633 48425 48663 49416 49702 51135 51769 51931 52366 53245 55520 56988 57270 57840 58192 58517 59401 60878 62698 64377 65661 71399 72189 73436 75383 79758 81053 82586 83759 84204 84442 85053 86515 87756 87911 89598
68;2;2912 3895 4143 5072 6062 6510 6971 8295 9774 10184 11506 12728 14502 17941 18378 18701 20300 21648 22010 22459 25615 28683 29682 30311 32696 34788 34942 35408 38401 38716 39211 39327 42881 43068 44050 44546 46595 46978 48935 49702 50383 52509 53044 53314 54247 55394 55520 56940 57685 62794 64348 65661 69416 71728 72522 72825 73436 74320 74757 75131 77856 78012 79360 84372 85739 86589 86710 89235
68;2;39 1176 2176 2524 2912 3895 4143 6062 6971 7967 8758 9774 12728 13864 14502 14955 15868 16900 18378 21648 22010 22459 22936 25615 29321 31460 32703 33779 34788 34942 35408 35909 37453 39211 40030 40892 41948 42881 43296 44313 45151 47245 49702 51769 53314 54247 55520 56940 57685 60074 64348 65661 66355 69416 73436 74320 74460 78012 82317 83001 83759 84372 85739 86589 88039 88370 89235 89664
69;2;2912 3401 4143 4929 5768 7967 8624 9104 10072 10359 10663 11287 13382 13864 15926 16900 18378 18712 19756 21379 22010 22459 22766 22936 23986 24527 24828 27180 30251 32363 34003 36776 37062 37695 38885 42380 44313 45408 46266 47952 49702 50181 51769 52366 53770 54247 54629 55408 55520 57270 58192 58384 59401 60878 63307 65661 67240 68679 73436 73988 74320 75146 75383 76746 81053 83759 85914 87756 88833
71;2;2090 2176 3895 6062 7506 8758 12025 12728 15868 17626 19676 22010 23723 25615 26649 31460 32696 34788 35238 35408 36366 37453 39211 40030 40321 41948 42015 42881 44954 46595 49702 50555 51182 51769 52162 53044 53314 54457 55394 55520 56940 57685 60793 62794 63466 66084 66740 67661 67949 70832 71363 72154 73436 74320 74460 76173 77140 77856 78012 81865 82157 83001 84204 84372 85247 86589 86710 87088 87414 88039 88868
71;2;2176 3401 3895 4290 4929 6062 6319 8231 8758 10072 10359 10663 10831 12728 15522 15868 18712 19918 20853 22010 22766 23135 24527 25615 27180 30593 31460 34788 35408 37062 37453 37695 38885 39211 39550 40030 41948 42881 43677 44427 46183 47451 48530 49702 49960 51769 53314 55520 56161 56940 57270 57497 57685 59702 63021 64019 69113 73436 73988 74320 74460 75146 78012 80411 81053 83001 84372 84698 86589 88039 89937
73;2;1472 1777 3401 4006 4640 5750 6596 6638 7967 8295 9552 9968 10327 11493 13710 13864 15243 15868 16170 17979 19134 19736 20178 20419 22010 22400 23771 30362 34585 38395 39211 39327 40030 41496 42222 43677 44050 44546 45969 46266 49783 50153 51931 53314 53556 54770 56682 57153 58625 60765 63021 63307 64348 64727 64964 66841 68181 69849 72189 72359 72913 73988 75131 77774 78773 80278 81190 81616 83602 83929 85233 87793 88512
74;2;1254 1825 2912 3895 4143 5225 5768 6062 6971 8624 9774 12399 12728 14502 18378 19918 21379 21648 22010 22459 22766 24527 25615 26237 27180 34788 34942 35408 36434 36776 38134 39211 41509 42380 42881 43677 44926 45408 46266 49702 52366 53314 53667 54247 55520 56161 56940 57270 57685 58192 60878 61480 63307 64348 65661 68907 69416 70185 70263 70865 72015 72950 73436 74320 76349 78012 81053 81574 83105 84372 85739 86589 88627 89235
74;2;2518 3593 4006 4290 5768 6624 9023 9836 10577 14502 16773 17429 18701 20853 21648 22400 22936 26649 27180 27330 28683 30311 31061 31734 33073 34490 34585 34942 36235 37695 39932 40797 42881 46183 49702 51294 53044 53314 54644 55814 56988 58159 58677 59401 60067 60574 60793 61480 61666 62745 63021 64443 66424 68181 69416 69618 70865 72189 72913 74320 74814 76269 77774 78518 79960 80987 81576 82157 83565 84372 86515 86812 87221 87756
75;2;803 1547 1825 3895 5072 5768 6062 6624 7597 8624 10184 14502 15458 16067 16773 17205 17429 17941 18701 21648 22766 27180 27330 27704 28319 28683 30311 30816 34130 34942 35196 37044 38716 39211 39932 42881 44050 44136 46595 46978 48723 49702 52509 53044 53314 53667 54247 55520 56161 57270 59869 61177 61480 63307 64964 67206 68907 69416 70185 70263 70865 71728 74055 74320 75759 78012 78698 80452 81053 82203 83105 84372 84788 85739 89598
